2026-07-23 23:42:50 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:43:13 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 409.4 m from expected exceeds 100 m radius)
2026-07-23 23:43:23 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:44:38 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:49:18 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 168.9 m from expected exceeds 100 m radius)
2026-07-23 23:49:30 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-24 00:24:39 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 101.3 m from expected exceeds 100 m radius)
2026-07-24 00:25:03 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-24 00:45:06 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 106.1 m from expected exceeds 100 m radius)
2026-07-24 00:47:05 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-24 01:04:53 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 104.7 m from expected exceeds 100 m radius)
2026-07-24 01:14:37 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-24 01:18:21 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 5108.2 m from expected exceeds 100 m radius)
2026-07-24 01:19:10 | INFO     | gnss_monitor.live | receiver 'neom10_1' (NeoM10) status changed: OK -> FAILED (position 201.0 m from expected exceeds 100 m radius)
2026-07-24 01:19:55 | INFO     | gnss_monitor.live | receiver 'neom10_1' (NeoM10) status changed: FAILED -> OK (within expected radius)
2026-07-24 01:22:11 | INFO     | gnss_monitor.live | receiver 'neom10_1' (NeoM10) status changed: OK -> FAILED (position 108.6 m from expected exceeds 100 m radius)
2026-07-24 01:26:44 | INFO     | gnss_monitor.live | receiver 'neom10_1' (NeoM10) status changed: FAILED -> OK (within expected radius)
2026-07-24 01:29:39 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-24 03:19:38 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 429.2 m from expected exceeds 100 m radius)
2026-07-24 03:19:52 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-24 08:32:29 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 2049578.2 m from expected exceeds 100 m radius)
2026-07-24 08:39:13 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-24 08:59:37 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 108.6 m from expected exceeds 100 m radius)
2026-07-24 08:59:40 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
